"","x"
"1","Click Here"
"2","game_id"
"3","teamname"
"4","opposingteamname"
"5","currentpossession"
"6","sequence"
"7","period"
"8","compiledgametime"
"9","currentpossession_time"
"10","scoredifferential"
"11","strengthstate"
"12","xadjcoord"
"13","yadjcoord"
"14","player"
"15","playerprimaryposition"
"16","eventname"
"17","type"
"18","outcome"
"19","xg_all_attempts"
"20","goal"
"21","shotaim"
"22","shottype"
"23","rink_area"
"24","powerplay"
"25","type_gt_formatting"
"26","event_name_type"
"27","game_time_rounded"
"28","position_gt_formatting"
"29","events_map_segment_alpha"
"30","pass_target_x"
"31","pass_target_y"
"32","pass_next_eventname"
"33","rink_area_pass_target_y"
"34","rink_area_pass_target_x"
"35","rink_area_pass_target"
"36","graph_pass_target_y"
"37","graph_pass_target_x"
"38","x_axis_label"
"39","y_axis_label"
