"","x"
"1","Click Here"
"2","Abby Roque"
"3","Aerin Frankel"
"4","Alex Carpenter"
"5","Alexa Gruschow"
"6","Alexa Vasko"
"7","Alexandra Poznikoff"
"8","Amanda Kessel"
"9","Amanda Makela"
"10","Ann-Renée Desbiens"
"11","Bailey Larson"
"12","Blayre Turnbull"
"13","Brianne Jenner"
"14","Brigette Lacquette"
"15","Carolyne Prevost"
"16","Catherine Quirion"
"17","Clair DeGeorge"
"18","Claire Thompson"
"19","Demi Crossman"
"20","Ella Shelton"
"21","Emerance Maschmeyer"
"22","Emily Brown"
"23","Emily Clark"
"24","Emily Curlett"
"25","Emma Buckles"
"26","Erica Howe"
"27","Erin Ambrose"
"28","Geneviève Lacasse"
"29","Grace Graham"
"30","Haley Skarupa"
"31","Halli Krzyzaniak"
"32","Hanna Bunton"
"33","Hannah Brandt"
"34","Hayley Lunny"
"35","Hayley Scamurra"
"36","Hilary Knight"
"37","Iya Gavrilova"
"38","Jacquie Greco"
"39","Jaime Bourbonnais"
"40","Jamie Lee Rattray"
"41","Jess Jones"
"42","Jessica DiGirolamo"
"43","Jessie Eldridge"
"44","Jill Saulnier"
"45","Jincy Dunne"
"46","Jocelyne Larocque"
"47","Kaitlin Willoughby"
"48","Karell Emard"
"49","Katelyn Gosling"
"50","Kayla Vespa"
"51","Kelly Gribbons"
"52","Kelly Pannek"
"53","Kendall Coyne Schofield"
"54","Kristen Campbell"
"55","Kristen Richards"
"56","Kristin ONeill"
"57","Laura Dostaler"
"58","Laura Fortino"
"59","Laura Stacey"
"60","Lauriane Rougeau"
"61","Leah Bohlken"
"62","Lee Stecklein"
"63","Lillian Ribeirinha-Braga"
"64","Lindsay Browning"
"65","Mélodie Daoust"
"66","Maddie Rooney"
"67","Madison Field"
"68","Makayla Langei"
"69","Malia Schneider"
"70","Marie-Philip Poulin"
"71","Marlène Boissonnault"
"72","Meaghan Mikkelson"
"73","Megan Eady"
"74","Megan Keller"
"75","Melanie Desrochers"
"76","Mellissa Channell"
"77","Micah Zandee-Hart"
"78","Natalie Spooner"
"79","Natasza Tarnowski"
"80","Nicole Hensley"
"81","Nicole Kosta"
"82","Nikki Nightengale"
"83","Rebecca Johnston"
"84","Rebecca Leslie"
"85","Renata Fast"
"86","Rhianna Kurio"
"87","Rosalie Demers"
"88","Samantha Cogan"
"89","Samantha Donovan"
"90","Sarah Nurse"
"91","Sarah Potomak"
"92","Savannah Harmon"
"93","Shannon Stewart"
"94","Shea Tiley"
"95","Sophia Shaver"
"96","Sydney Scobee"
"97","Tatum Skaggs"
"98","Victoria Bach"
